Product Category,Product,Total_Quantity,Total_Sales
Audio Devices,Apple Airpods Headphones,15661,2349150.0
Audio Devices,Bose SoundSport Headphones,13457,1345565.43
Audio Devices,Wired Headphones,20557,246478.43
Batterie,AA Batteries (4-pack),27635,106118.4
Batterie,AAA Batteries (4-pack),31017,92740.83
Charging Cables,Lightning Charging Cable,23217,347094.14999999997
Charging Cables,USB-C Charging Cable,23975,286501.25
Entertainment Devices,Flatscreen TV,4819,1445700.0
Home Appliances,LG Dryer,646,387600.0
Home Appliances,LG Washing Machine,666,399600.0
Laptops and Computers,Macbook Pro Laptop,4728,8037600.0
Laptops and Computers,ThinkPad Laptop,4130,4129958.7
Monitors,20in Monitor,4129,454148.70999999996
Monitors,27in 4K Gaming Monitor,6244,2435097.56
Monitors,27in FHD Monitor,7550,1132424.5
Monitors,34in Ultrawide Monitor,6199,2355558.0100000002
Phones and Accessories,Google Phone,5532,3319200.0
Phones and Accessories,Vareebadd Phone,2068,827200.0
Phones and Accessories,iPhone,6849,4794300.0
